iter	Passed	Remaining
0	313	93625
1	620	92506
2	921	91267
3	1241	91902
4	1553	91631
5	1826	89513
6	2150	89998
7	2416	88214
8	2728	88219
9	3062	88813
10	3406	89503
11	3712	89090
12	4055	89542
13	4358	89036
14	4616	87718
15	4899	86968
16	5231	87093
17	5507	86284
18	5815	86004
19	6128	85802
20	6434	85486
21	6695	84606
22	6964	83878
23	7261	83504
24	7545	83001
25	7816	82375
26	8090	81807
27	8372	81337
28	8661	80943
29	8928	80357
30	9201	79847
31	9440	79067
32	9709	78556
33	9959	77916
34	10224	77413
35	10466	76752
36	10723	76224
37	10950	75499
38	11213	75041
39	11470	74560
40	11696	73884
41	11947	73390
42	12216	73016
43	12463	72515
44	12716	72059
45	12976	71650
46	13244	71292
47	13520	70984
48	13780	70590
49	14041	70205
50	14316	69897
51	14552	69404
52	14780	68881
53	15007	68369
54	15262	67988
55	15517	67610
56	15768	67221
57	16062	67018
58	16338	66739
59	16586	66346
60	16885	66158
61	17149	65831
62	17403	65471
63	17642	65055
64	17912	64760
65	18156	64371
66	18385	63936
67	18622	63534
68	18850	63106
69	19101	62762
70	19340	62381
71	19580	62005
72	19851	61728
73	20080	61327
74	20338	61016
75	20580	60658
76	20828	60322
77	21058	59936
78	21299	59584
79	21502	59132
80	21759	58832
81	22030	58569
82	22255	58185
83	22476	57797
84	22703	57426
85	22953	57117
86	23187	56770
87	23456	56508
88	23693	56171
89	23918	55810
90	24150	55466
91	24392	55147
92	24615	54790
93	24850	54458
94	25079	54118
95	25301	53764
96	25502	53370
97	25733	53043
98	25961	52708
99	26175	52350
100	26415	52046
101	26663	51758
102	26918	51485
103	27186	51236
104	27459	50996
105	27689	50676
106	27920	50361
107	28150	50044
108	28394	49755
109	28629	49451
110	28881	49176
111	29103	48851
112	29339	48553
113	29573	48251
114	29822	47975
115	30076	47708
116	30308	47404
117	30543	47108
118	30762	46789
119	30967	46451
120	31179	46124
121	31460	45900
122	31733	45665
123	32005	45426
124	32224	45114
125	32450	44812
126	32650	44476
127	32872	44172
128	33097	43873
129	33318	43569
130	33542	43272
131	33784	42998
132	34035	42736
133	34260	42441
134	34506	42174
135	34716	41863
136	34969	41605
137	35226	41352
138	35488	41105
139	35724	40828
140	35988	40582
141	36229	40311
142	36489	40061
143	36757	39820
144	37017	39569
145	37268	39310
146	37530	39062
147	37758	38778
148	38024	38534
149	38262	38262
150	38538	38028
151	38799	37778
152	39065	37533
153	39298	37256
154	39547	36996
155	39778	36718
156	39983	36418
157	40226	36152
158	40443	35865
159	40709	35621
160	40955	35359
161	41175	35075
162	41412	34806
163	41653	34541
164	41874	34260
165	42104	33988
166	42354	33731
167	42571	33448
168	42784	33164
169	43015	32894
170	43251	32628
171	43469	32349
172	43700	32080
173	43900	31789
174	44158	31541
175	44375	31264
176	44610	31000
177	44842	30735
178	45081	30474
179	45290	30193
180	45495	29911
181	45699	29629
182	45892	29341
183	46111	29070
184	46368	28823
185	46576	28546
186	46824	28294
187	47025	28015
188	47254	27752
189	47455	27474
190	47719	27232
191	47928	26959
192	48134	26686
193	48360	26423
194	48579	26158
195	48815	25901
196	49024	25631
197	49300	25397
198	49526	25136
199	49750	24875
200	49984	24619
201	50198	24353
202	50404	24085
203	50618	23820
204	50859	23568
205	51082	23309
206	51280	23039
207	51514	22785
208	51752	22533
209	51985	22279
210	52211	22022
211	52446	21770
212	52668	21512
213	52876	21249
214	53073	20982
215	53303	20729
216	53566	20488
217	53807	20239
218	54047	19990
219	54262	19731
220	54493	19479
221	54717	19225
222	54952	18974
223	55156	18713
224	55345	18448
225	55598	18204
226	55818	17950
227	56056	17702
228	56278	17448
229	56486	17191
230	56706	16938
231	56915	16682
232	57115	16423
233	57316	16166
234	57530	15912
235	57730	15655
236	57924	15397
237	58143	15146
238	58351	14892
239	58583	14645
240	58802	14395
241	59029	14147
242	59238	13895
243	59447	13643
244	59684	13398
245	59921	13153
246	60147	12906
247	60356	12655
248	60561	12404
249	60786	12157
250	60984	11905
251	61212	11659
252	61432	11412
253	61648	11164
254	61870	10918
255	62082	10670
256	62288	10421
257	62490	10172
258	62700	9925
259	62912	9678
260	63136	9434
261	63355	9189
262	63550	8940
263	63773	8696
264	63976	8449
265	64203	8206
266	64411	7961
267	64625	7716
268	64855	7474
269	65068	7229
270	65286	6986
271	65505	6743
272	65730	6500
273	65947	6257
274	66175	6015
275	66395	5773
276	66631	5532
277	66862	5291
278	67056	5047
279	67276	4805
280	67490	4563
281	67701	4321
282	67965	4082
283	68171	3840
284	68394	3599
285	68603	3358
286	68845	3118
287	69066	2877
288	69255	2636
289	69489	2396
290	69698	2155
291	69916	1915
292	70093	1674
293	70352	1435
294	70576	1196
295	70873	957
296	71099	718
297	71320	478
298	71564	239
299	71759	0
