iter	Passed	Remaining
0	65	15665
1	122	14660
2	180	14353
3	235	13965
4	283	13382
5	333	13055
6	379	12671
7	426	12414
8	477	12319
9	530	12264
10	586	12266
11	643	12276
12	699	12271
13	763	12372
14	825	12433
15	886	12465
16	950	12529
17	1014	12569
18	1078	12601
19	1146	12664
20	1205	12626
21	1273	12679
22	1338	12690
23	1399	12657
24	1460	12615
25	1519	12561
26	1585	12566
27	1647	12534
28	1715	12537
29	1781	12532
30	1845	12501
31	1911	12482
32	1972	12434
33	2034	12384
34	2094	12330
35	2157	12286
36	2216	12222
37	2281	12187
38	2342	12134
39	2403	12076
40	2460	12001
41	2514	11915
42	2569	11831
43	2622	11739
44	2675	11652
45	2724	11551
46	2781	11482
47	2834	11398
48	2887	11316
49	2943	11244
50	2995	11160
51	3045	11069
52	3097	10987
53	3146	10894
54	3198	10816
55	3251	10741
56	3307	10678
57	3356	10590
58	3409	10515
59	3460	10438
60	3518	10383
61	3576	10325
62	3624	10241
63	3674	10162
64	3722	10078
65	3775	10011
66	3828	9943
67	3882	9876
68	3930	9797
69	3979	9720
70	4027	9642
71	4084	9586
72	4134	9515
73	4183	9441
74	4233	9370
75	4281	9295
76	4329	9220
77	4377	9148
78	4432	9088
79	4479	9015
80	4538	8964
81	4595	8910
82	4641	8835
83	4689	8764
84	4740	8699
85	4786	8627
86	4835	8559
87	4886	8496
88	4939	8436
89	4990	8373
90	5039	8306
91	5090	8244
92	5139	8178
93	5189	8114
94	5239	8051
95	5286	7985
96	5331	7915
97	5383	7855
98	5431	7790
99	5479	7725
100	5536	7674
101	5593	7622
102	5646	7565
103	5696	7504
104	5748	7446
105	5796	7382
106	5846	7322
107	5892	7257
108	5940	7193
109	5988	7131
110	6035	7068
111	6089	7014
112	6139	6954
113	6189	6895
114	6237	6834
115	6285	6773
116	6334	6713
117	6386	6656
118	6436	6598
119	6486	6540
120	6545	6491
121	6604	6441
122	6658	6387
123	6712	6333
124	6768	6280
125	6819	6223
126	6867	6164
127	6914	6104
128	6961	6044
129	7012	5987
130	7065	5933
131	7124	5882
132	7182	5832
133	7235	5777
134	7288	5723
135	7343	5669
136	7394	5613
137	7445	5557
138	7497	5502
139	7551	5447
140	7604	5393
141	7662	5341
142	7710	5283
143	7762	5228
144	7818	5176
145	7871	5121
146	7921	5065
147	7972	5009
148	8020	4952
149	8069	4895
150	8128	4844
151	8178	4788
152	8232	4734
153	8283	4679
154	8333	4623
155	8383	4567
156	8435	4513
157	8486	4457
158	8537	4402
159	8590	4348
160	8641	4294
161	8691	4238
162	8742	4183
163	8790	4127
164	8840	4071
165	8885	4014
166	8932	3957
167	8980	3902
168	9028	3846
169	9078	3791
170	9129	3737
171	9176	3681
172	9223	3625
173	9271	3570
174	9317	3514
175	9371	3461
176	9417	3405
177	9464	3349
178	9510	3294
179	9562	3240
180	9614	3186
181	9662	3132
182	9708	3077
183	9757	3022
184	9804	2967
185	9853	2913
186	9900	2858
187	9949	2805
188	10007	2753
189	10066	2701
190	10115	2647
191	10172	2596
192	10224	2542
193	10278	2490
194	10329	2436
195	10378	2382
196	10428	2329
197	10478	2275
198	10527	2221
199	10584	2169
200	10636	2116
201	10686	2063
202	10736	2009
203	10785	1956
204	10833	1902
205	10881	1848
206	10930	1795
207	10978	1741
208	11025	1688
209	11072	1634
210	11118	1580
211	11174	1528
212	11220	1475
213	11268	1421
214	11316	1368
215	11364	1315
216	11412	1262
217	11459	1209
218	11507	1156
219	11556	1103
220	11614	1051
221	11667	998
222	11717	945
223	11768	893
224	11814	840
225	11863	787
226	11910	734
227	11955	681
228	12003	629
229	12051	576
230	12098	523
231	12147	471
232	12199	418
233	12247	366
234	12294	313
235	12342	261
236	12388	209
237	12434	156
238	12480	104
239	12526	52
240	12579	0
